Date,SPY,QQQ,EFA,EEM,TLT,IEF,GLD,SLV,DBC,USO,UUP,FXE,FXY,BTC-USD,ETH-USD
2005-08-22,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-23,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-24,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-25,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-26,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-29,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-30,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-31,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-02,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-06,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-07,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-08,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-09,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-12,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-13,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-14,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-15,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-16,0.3882553627442719,0.3524286049528157,0.37823890809652055,0.2507404883129045,0.3882553627442719,0.0,0.3882553627442719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
